ligand_id,label,selection_role,EGFR_9KL4_aligned,EGFR_7KXZ_aligned,EGFR_9FRD_aligned,EGFR_4I23_aligned,EGFR_3W2S_aligned,EGFR_5CAV_aligned,EGFR_3W32_aligned,EGFR_8F1Z_aligned,EGFR_3POZ_aligned,EGFR_7U9A_aligned,EGFR_3W33_aligned,EGFR_9QXN_aligned
EGFR_active_L000441,active,development_train,-8.923,-8.595,-9.6,-8.441,-10.195,-8.343,-10.774,-9.713,-10.13,-8.389,-10.902,-9.466
EGFR_active_L000010,active,development_train,-8.489,-8.37,-8.938,-7.99,-9.091,-7.911,-9.153,-8.738,-8.805,-8.152,-8.908,-8.899
EGFR_active_L000154,active,development_train,-9.577,-9.822,-9.841,-9.26,-9.766,-8.442,-10.02,-9.459,-9.924,-9.232,-9.961,-9.536
EGFR_active_L000294,active,development_train,-9.119,-9.293,-10.426,-8.865,-9.64,-8.17,-10.492,-10.297,-10.233,-8.667,-11.059,-10.191
EGFR_active_L000430,active,development_train,-7.88,-8.009,-8.608,-7.951,-9.132,-7.759,-9.93,-8.227,-9.71,-7.647,-9.246,-8.437
EGFR_active_L000030,active,development_train,-7.576,-8.164,-8.56,-7.559,-8.646,-7.465,-9.615,-8.409,-8.587,-7.186,-9.135,-8.464
EGFR_active_L000537,active,development_train,-8.704,-8.423,-9.721,-7.724,-9.008,-7.77,-8.767,-9.316,-8.802,-7.973,-8.816,-9.205
EGFR_active_L000488,active,development_train,-7.28,-7.329,-8.853,-7.454,-7.858,-6.98,-8.236,-8.593,-7.969,-7.401,-8.302,-8.731
EGFR_active_L000484,active,development_train,-8.748,-8.703,-9.061,-8.609,-8.99,-8.024,-9.104,-9.08,-8.44,-8.87,-8.609,-9.102
EGFR_active_L000328,active,development_train,-7.608,-7.729,-8.551,-7.681,-7.578,-7.038,-7.579,-8.302,-7.528,-7.261,-7.079,-8.55
EGFR_active_L000421,active,development_train,-8.475,-8.324,-9.084,-7.853,-9.238,-7.58,-8.65,-9.021,-8.779,-8.094,-8.927,-8.939
EGFR_active_L000076,active,development_train,-8.602,-8.664,-9.367,-8.4,-8.88,-8.115,-9.063,-9.516,-8.933,-7.961,-8.934,-9.543
EGFR_active_L000285,active,development_train,-8.229,-8.255,-9.572,-9.099,-8.807,-7.805,-9.29,-9.131,-8.688,-9.064,-9.259,-9.551
EGFR_active_L000184,active,development_train,-8.546,-8.894,-9.477,-8.133,-8.303,-7.818,-8.894,-9.184,-8.132,-7.798,-7.939,-9.265
EGFR_active_L000009,active,development_train,-9.104,-8.624,-9.271,-8.59,-9.108,-8.298,-10.216,-9.097,-9.66,-8.624,-9.843,-9.383
EGFR_active_L000409,active,development_train,-9.877,-9.908,-11.25,-8.829,-10.444,-9.484,-10.788,-9.791,-10.811,-10.093,-9.642,-9.913
EGFR_active_L000516,active,development_train,-8.077,-8.264,-8.894,-7.88,-8.844,-7.668,-9.153,-8.577,-8.697,-8.021,-8.67,-9.061
EGFR_active_L000229,active,development_train,-9.749,-9.602,-10.232,-8.816,-10.209,-8.888,-10.639,-10.629,-10.45,-8.869,-10.48,-10.27
EGFR_active_L000279,active,development_train,-8.599,-8.708,-9.067,-8.386,-9.511,-7.738,-9.977,-9.237,-9.793,-8.098,-9.795,-9.102
EGFR_active_L000222,active,development_train,-9.234,-9.158,-9.645,-8.514,-9.58,-8.114,-10.427,-10.137,-10.142,-8.441,-10.399,-9.676
EGFR_active_L000436,active,development_train,-8.366,-8.95,-9.694,-8.634,-8.931,-8.153,-8.707,-9.27,-8.559,-8.062,-8.43,-9.55
EGFR_active_L000197,active,development_train,-9.227,-9.574,-9.842,-8.684,-10.14,-8.71,-10.601,-10.058,-10.542,-8.905,-10.965,-9.976
EGFR_active_L000532,active,development_train,-8.15,-8.505,-9.443,-8.4,-8.676,-8.074,-8.886,-9.337,-8.826,-7.954,-8.869,-9.405
EGFR_active_L000187,active,development_train,-8.423,-8.825,-9.034,-8.131,-9.008,-7.819,-9.584,-8.776,-9.053,-8.202,-9.513,-9.13
EGFR_active_L000101,active,development_train,-8.924,-9.452,-9.744,-8.76,-9.733,-8.676,-10.333,-9.639,-10.196,-8.659,-10.319,-9.954
EGFR_active_L000234,active,development_train,-9.563,-9.7,-10.18,-9.491,-10.737,-9.153,-11.46,-10.575,-10.71,-9.591,-11.34,-10.605
EGFR_active_L000144,active,development_train,-9.586,-9.512,-9.069,-8.412,-9.378,-8.132,-10.531,-9.809,-10.359,-8.173,-10.294,-9.957
EGFR_active_L000371,active,development_train,-7.701,-8.171,-8.368,-8.191,-8.246,-8.814,-8.829,-7.929,-9.058,-8.379,-9.687,-7.797
EGFR_active_L000317,active,development_train,-9.236,-8.998,-10.044,-8.489,-8.86,-7.519,-9.233,-10.119,-9.477,-8.644,-9.795,-10.267
EGFR_active_L000358,active,development_train,-8.756,-9.431,-10.127,-7.73,-9.634,-8.415,-9.662,-10.075,-9.799,-8.77,-9.604,-10.11
EGFR_active_L000194,active,development_train,-8.698,-8.498,-9.157,-8.567,-9.619,-7.553,-8.969,-9.343,-8.773,-8.659,-8.94,-9.269
EGFR_active_L000003,active,development_train,-8.218,-8.553,-9.161,-8.167,-8.915,-7.942,-8.656,-9.088,-8.582,-8.064,-8.494,-9.202
EGFR_active_L000121,active,development_train,-9.26,-9.671,-9.35,-8.785,-9.977,-8.77,-9.515,-9.731,-9.505,-8.58,-9.616,-9.54
EGFR_active_L000458,active,development_train,-9.614,-9.408,-9.712,-8.967,-10.554,-9.044,-10.343,-10.409,-10.53,-8.86,-10.525,-10.322
EGFR_active_L000390,active,development_train,-8.299,-8.321,-8.558,-8.416,-8.732,-8.34,-8.82,-8.786,-8.694,-8.366,-8.872,-8.677
EGFR_active_L000049,active,development_train,-9.463,-9.849,-10.192,-9.609,-9.785,-9.401,-10.495,-10.441,-10.418,-9.84,-11.037,-10.208
EGFR_active_L000044,active,development_train,-7.894,-8.319,-8.922,-7.492,-8.473,-7.353,-8.814,-8.741,-9.057,-7.575,-8.602,-8.547
EGFR_active_L000021,active,development_train,-8.158,-8.307,-9.012,-8.107,-8.915,-7.854,-8.495,-8.877,-8.489,-7.956,-8.76,-8.961
EGFR_active_L000004,active,development_train,-8.449,-8.838,-9.552,-8.348,-9.334,-8.038,-8.803,-9.342,-8.954,-8.443,-8.575,-9.613
EGFR_active_L000252,active,development_train,-9.843,-10.651,-10.848,-9.504,-10.384,-9.316,-10.381,-10.52,-9.917,-9.333,-10.312,-10.906
EGFR_active_L000083,active,development_train,-8.776,-8.904,-9.433,-8.558,-9.062,-8.303,-9.62,-9.767,-9.347,-8.49,-9.059,-9.607
EGFR_active_L000173,active,development_train,-8.759,-9.235,-9.82,-8.369,-8.591,-8.514,-9.117,-9.595,-8.621,-8.362,-8.571,-9.284
EGFR_active_L000526,active,development_train,-9.395,-9.505,-9.817,-8.973,-10.295,-8.429,-10.823,-10.008,-10.458,-8.835,-10.622,-9.744
EGFR_active_L000032,active,development_train,-8.516,-8.63,-9.355,-8.616,-8.849,-7.964,-8.761,-9.478,-8.904,-8.108,-8.509,-9.16
EGFR_active_L000261,active,development_train,-8.578,-9.527,-9.629,-8.597,-10.075,-8.376,-11.165,-10.051,-10.638,-8.58,-10.986,-9.512
EGFR_active_L000224,active,development_train,-8.613,-8.895,-9.875,-8.546,-9.405,-8.026,-8.791,-9.793,-8.629,-8.642,-9.022,-9.915
EGFR_active_L000031,active,development_train,-8.559,-8.668,-9.013,-7.928,-8.295,-7.759,-9.072,-9.252,-8.627,-7.76,-8.369,-9.121
EGFR_active_L000117,active,development_train,-8.546,-8.471,-9.643,-7.363,-9.643,-7.695,-9.786,-8.949,-9.715,-8.343,-9.846,-9.861
EGFR_active_L000001,active,development_train,-9.206,-9.693,-10.275,-8.758,-10.21,-8.481,-9.493,-10.398,-9.641,-9.181,-10.02,-10.324
EGFR_active_L000266,active,development_train,-7.477,-7.939,-8.457,-7.794,-8.792,-7.68,-9.037,-8.637,-8.851,-7.651,-8.687,-8.665
EGFR_active_L000283,active,development_train,-8.449,-8.436,-9.089,-8.053,-9.177,-7.977,-8.793,-9.141,-8.717,-8.076,-8.751,-8.845
EGFR_active_L000470,active,development_train,-7.633,-7.973,-8.25,-7.459,-7.907,-7.525,-7.809,-8.354,-7.544,-7.414,-7.804,-8.15
EGFR_active_L000159,active,development_train,-9.057,-8.677,-9.401,-7.681,-9.431,-7.887,-10.157,-9.231,-9.795,-8.013,-10.025,-9.594
EGFR_active_L000434,active,development_train,-8.177,-8.537,-9.169,-7.934,-8.338,-7.902,-9.048,-9.098,-9.002,-7.721,-8.656,-9.075
EGFR_active_L000188,active,development_train,-9.18,-8.886,-9.438,-7.994,-9.356,-7.621,-10.21,-9.016,-9.633,-7.613,-9.941,-9.452
EGFR_active_L000246,active,development_train,-8.986,-9.392,-10.022,-9.479,-10.696,-8.8,-10.761,-10.356,-10.445,-9.1,-10.945,-10.177
EGFR_active_L000029,active,development_train,-8.176,-8.681,-9.124,-7.807,-8.652,-7.794,-8.837,-9.277,-9.275,-7.682,-8.926,-9.284
EGFR_active_L000320,active,development_train,-6.59,-7.203,-7.981,-6.522,-7.318,-6.608,-7.535,-7.823,-7.53,-6.682,-7.794,-7.97
EGFR_active_L000221,active,development_train,-9.122,-9.849,-9.71,-8.681,-8.877,-9.358,-9.455,-9.785,-9.068,-9.345,-9.296,-9.973
EGFR_active_L000147,active,development_train,-9.463,-9.857,-9.61,-8.746,-9.372,-8.716,-9.474,-9.81,-9.481,-9.091,-8.597,-9.893
EGFR_active_L000105,active,development_train,-8.692,-8.687,-9.364,-8.619,-9.926,-7.62,-10.579,-9.609,-10.255,-8.313,-10.723,-9.34
EGFR_active_L000337,active,development_train,-9.043,-9.105,-10.864,-8.995,-9.856,-8.587,-11.05,-9.373,-10.701,-9.426,-10.963,-10.413
EGFR_active_L000368,active,development_train,-8.785,-8.702,-9.423,-8.256,-9.687,-8.051,-9.272,-9.135,-9.554,-8.524,-9.707,-9.389
EGFR_active_L000114,active,development_train,-8.824,-8.674,-9.891,-8.618,-9.546,-7.978,-10.291,-9.7,-10.048,-8.471,-10.368,-9.949
EGFR_active_L000115,active,development_train,-8.248,-8.645,-8.912,-7.016,-8.332,-7.689,-9.235,-9.276,-8.867,-7.663,-9.021,-9.066
EGFR_active_L000063,active,development_train,-8.957,-9.253,-9.778,-8.342,-9.01,-8.108,-9.23,-9.943,-9.267,-7.852,-8.86,-9.842
EGFR_active_L000540,active,development_train,-9.044,-8.873,-10.074,-8.542,-9.97,-7.767,-10.343,-10.186,-10.337,-8.304,-10.765,-10.116
EGFR_active_L000298,active,development_train,-9.238,-9.406,-9.771,-8.736,-10.036,-8.193,-10.913,-10.072,-10.696,-8.552,-10.849,-10.019
EGFR_active_L000254,active,development_train,-8.176,-8.538,-9.157,-7.937,-9.384,-8.007,-10.341,-9.097,-10.023,-8.08,-10.02,-8.991
EGFR_active_L000215,active,development_train,-8.696,-8.72,-8.402,-7.78,-9.443,-7.862,-10.351,-9.155,-10.139,-7.555,-10.099,-9.274
EGFR_active_L000472,active,development_train,-7.862,-8.05,-8.901,-7.791,-8.158,-7.826,-7.949,-8.763,-7.933,-8.043,-7.904,-8.85
EGFR_active_L000335,active,development_train,-9.526,-9.648,-10.07,-9.976,-10.775,-8.263,-11.89,-10.01,-11.329,-9.186,-11.669,-9.868
EGFR_active_L000241,active,development_train,-7.018,-7.342,-7.836,-7.058,-7.707,-6.731,-7.714,-7.621,-7.65,-6.97,-7.781,-7.82
EGFR_active_L000392,active,development_train,-8.77,-8.714,-9.18,-9.02,-9.08,-8.393,-8.776,-8.853,-8.735,-8.592,-8.531,-8.984
EGFR_active_L000079,active,development_train,-8.71,-8.683,-9.076,-7.694,-9.203,-7.481,-10.148,-9.384,-9.585,-7.961,-9.98,-9.237
EGFR_active_L000307,active,development_train,-8.963,-9.206,-9.958,-8.199,-9.911,-8.544,-10.334,-9.767,-10.544,-8.925,-11.049,-9.852
EGFR_active_L000203,active,development_train,-9.45,-9.394,-10.544,-9.062,-10.702,-9.109,-11.255,-10.742,-10.91,-9.569,-11.107,-10.756
EGFR_decoy_L033153,decoy,development_train,-7.621,-7.737,-8.451,-7.582,-8.363,-7.644,-8.492,-8.36,-8.759,-7.849,-9.101,-8.362
EGFR_decoy_L030504,decoy,development_train,-9.143,-8.55,-9.866,-8.609,-9.097,-8.288,-9.858,-9.401,-9.484,-8.661,-9.772,-9.586
EGFR_decoy_L015194,decoy,development_train,-8.104,-8.567,-8.758,-8.019,-9.134,-7.483,-9.074,-8.812,-8.851,-7.708,-8.83,-8.529
EGFR_decoy_L014437,decoy,development_train,-9.162,-9.778,-9.383,-7.913,-9.08,-8.807,-9.551,-9.055,-8.829,-8.485,-10.917,-9.577
EGFR_decoy_L013931,decoy,development_train,-8.329,-8.259,-8.716,-7.594,-8.697,-8.031,-9.591,-8.686,-9.395,-7.472,-9.196,-8.472
EGFR_decoy_L009256,decoy,development_train,-8.158,-8.285,-9.511,-7.916,-8.918,-7.651,-9.662,-9.523,-8.871,-7.661,-9.843,-9.21
EGFR_decoy_L031609,decoy,development_train,-7.694,-8.25,-9.081,-7.436,-9.054,-7.116,-9.186,-9.65,-8.694,-7.286,-9.547,-9.225
EGFR_decoy_L012342,decoy,development_train,-8.683,-8.52,-8.514,-7.92,-9.141,-8.109,-9.206,-8.809,-9.188,-8.394,-9.93,-8.556
EGFR_decoy_L009703,decoy,development_train,-8.621,-9.142,-9.668,-8.327,-8.016,-8.082,-8.898,-8.726,-8.735,-7.928,-7.996,-9.187
EGFR_decoy_L000553,decoy,development_train,-9.784,-9.747,-9.298,-8.534,-9.843,-8.428,-10.117,-9.651,-10.432,-8.708,-10.76,-9.545
EGFR_decoy_L001565,decoy,development_train,-7.389,-6.345,-7.342,-9.546,-7.958,-8.971,-7.931,-7.384,-8.143,-7.76,-7.23,-6.354
EGFR_decoy_L001585,decoy,development_train,-8.747,-8.83,-9.122,-8.454,-8.567,-8.797,-9.095,-9.513,-9.127,-8.052,-8.871,-9.064
EGFR_decoy_L012078,decoy,development_train,-8.845,-6.739,-6.955,-7.138,-7.457,-7.908,-7.837,-7.574,-7.52,-7.419,-6.632,-7.215
EGFR_decoy_L012433,decoy,development_train,-6.767,-6.636,-6.732,-7.089,-7.561,-8.095,-7.099,-6.822,-7.733,-7.353,-7.19,-7.017
EGFR_decoy_L012437,decoy,development_train,-8.897,-8.781,-8.977,-8.967,-9.272,-9.423,-8.442,-9.654,-9.472,-9.028,-8.927,-8.781
EGFR_decoy_L015671,decoy,development_train,-9.135,-8.88,-9.179,-8.258,-9.066,-8.435,-10.109,-8.436,-9.48,-8.344,-9.807,-8.368
EGFR_decoy_L016517,decoy,development_train,-6.982,-6.821,-7.031,-7.495,-7.424,-7.717,-7.528,-7.362,-8.044,-7.461,-7.091,-7.288
EGFR_decoy_L024816,decoy,development_train,-6.596,-7.266,-7.192,-7.584,-7.571,-7.8,-6.439,-6.431,-7.567,-7.769,-6.372,-6.281
EGFR_decoy_L034111,decoy,development_train,-8.778,-8.569,-9.554,-8.104,-9.675,-8.166,-10.435,-8.943,-9.965,-8.897,-10.111,-9.116
EGFR_decoy_L006422,decoy,development_train,-7.822,-8.174,-8.745,-6.98,-9.035,-6.786,-8.728,-7.811,-8.831,-7.397,-8.625,-8.901
EGFR_decoy_L006433,decoy,development_train,-7.674,-7.435,-7.782,-6.683,-7.584,-7.209,-7.778,-7.926,-8.099,-6.906,-8.037,-7.739
EGFR_decoy_L006836,decoy,development_train,-7.365,-7.5,-8.317,-6.489,-7.489,-7.206,-8.002,-7.914,-7.3,-7.002,-7.618,-7.723
EGFR_decoy_L000859,decoy,development_train,-7.259,-7.291,-7.67,-7.787,-7.233,-7.572,-6.93,-7.675,-7.227,-6.147,-7.233,-7.772
EGFR_decoy_L020813,decoy,development_train,-7.396,-7.285,-7.979,-7.188,-7.709,-7.148,-8.135,-8.092,-8.093,-7.485,-8.346,-7.808
EGFR_decoy_L022613,decoy,development_train,-7.216,-6.893,-7.704,-6.766,-6.996,-6.524,-7.233,-7.652,-6.756,-6.216,-7.324,-7.118
EGFR_decoy_L029762,decoy,development_train,-7.043,-7.125,-7.43,-6.974,-7.114,-7.221,-7.787,-7.735,-7.107,-6.347,-7.589,-7.618
EGFR_decoy_L034454,decoy,development_train,-7.669,-7.513,-8.435,-7.529,-7.554,-7.535,-7.303,-8.181,-7.511,-6.825,-7.563,-8.127
EGFR_decoy_L034507,decoy,development_train,-7.794,-7.358,-7.847,-7.812,-7.039,-7.331,-6.919,-8.116,-7.267,-6.709,-7.061,-7.551
EGFR_decoy_L034512,decoy,development_train,-7.289,-7.334,-7.733,-7.056,-7.346,-6.782,-7.444,-8.021,-7.2,-6.409,-7.532,-7.655
EGFR_decoy_L034534,decoy,development_train,-7.634,-7.569,-8.19,-7.796,-7.842,-7.807,-7.51,-8.554,-7.904,-7.265,-7.525,-8.116
EGFR_decoy_L034556,decoy,development_train,-7.597,-7.244,-7.739,-7.394,-7.23,-7.311,-7.141,-8.038,-7.508,-6.542,-7.131,-7.781
EGFR_decoy_L020490,decoy,development_train,-10.234,-9.888,-10.509,-9.031,-10.094,-9.09,-10.919,-10.366,-10.306,-9.107,-10.681,-11.146
EGFR_decoy_L006297,decoy,development_train,-9.88,-10.273,-10.499,-9.005,-11.444,-9.017,-9.56,-10.568,-9.568,-10.244,-9.661,-10.69
EGFR_decoy_L014851,decoy,development_train,-8.616,-8.745,-9.862,-8.602,-9.175,-7.963,-9.619,-9.507,-9.416,-8.382,-9.64,-9.72
EGFR_decoy_L027939,decoy,development_train,-8.317,-8.413,-9.126,-7.821,-8.453,-7.888,-9.09,-9.277,-8.594,-7.848,-9.091,-9.521
EGFR_decoy_L017288,decoy,development_train,-8.941,-9.657,-8.907,-8.312,-9.484,-8.203,-9.222,-9.733,-9.202,-8.684,-9.685,-8.923
EGFR_decoy_L029279,decoy,development_train,-8.924,-8.602,-8.985,-8.419,-8.965,-8.141,-9.332,-8.959,-8.982,-8.049,-9.217,-8.855
EGFR_decoy_L009871,decoy,development_train,-10.14,-10.251,-11.226,-9.331,-10.223,-8.877,-12.082,-11.177,-11.899,-9.4,-10.575,-11.008
EGFR_decoy_L007537,decoy,development_train,-9.939,-9.695,-10.145,-8.968,-9.966,-9.023,-9.83,-10.189,-10.239,-9.295,-10.002,-10.247
EGFR_decoy_L018520,decoy,development_train,-10.059,-9.699,-10.371,-8.93,-9.081,-9.807,-9.585,-10.525,-10.933,-9.193,-11.194,-10.126
EGFR_decoy_L020387,decoy,development_train,-9.62,-9.25,-9.885,-9.209,-10.301,-8.536,-9.695,-10.202,-11.242,-8.895,-11.259,-10.453
EGFR_decoy_L029797,decoy,development_train,-8.208,-8.624,-8.801,-7.453,-8.42,-7.387,-9.684,-8.955,-9.375,-8.197,-9.802,-8.511
EGFR_decoy_L023122,decoy,development_train,-8.216,-8.094,-8.78,-8.029,-8.383,-7.729,-9.068,-8.971,-9.066,-8.115,-9.298,-9.01
EGFR_decoy_L022380,decoy,development_train,-7.827,-8.083,-7.753,-8.161,-8.062,-7.552,-8.235,-8.431,-8.573,-7.603,-8.084,-8.508
EGFR_decoy_L019414,decoy,development_train,-8.525,-7.791,-8.61,-7.803,-8.133,-7.443,-8.333,-9.258,-8.272,-7.873,-8.125,-8.838
EGFR_decoy_L034052,decoy,development_train,-7.853,-7.425,-7.774,-6.852,-7.343,-6.671,-7.476,-7.922,-7.462,-6.685,-7.716,-8.026
EGFR_decoy_L017718,decoy,development_train,-8.42,-9.475,-9.561,-8.424,-10.369,-8.483,-10.178,-9.536,-9.424,-8.483,-10.194,-9.303
EGFR_decoy_L006596,decoy,development_train,-8.606,-8.758,-8.93,-7.455,-9.857,-7.466,-9.344,-8.397,-9.089,-8.424,-8.992,-8.957
EGFR_decoy_L030068,decoy,development_train,-8.68,-8.624,-8.802,-7.517,-8.536,-7.771,-8.875,-9.161,-9.455,-7.492,-8.852,-9.13
EGFR_decoy_L030123,decoy,development_train,-7.95,-8.631,-8.969,-7.875,-8.684,-8.06,-8.48,-9.427,-9.189,-7.932,-8.542,-8.777
EGFR_decoy_L003260,decoy,development_train,-8.668,-8.823,-9.9,-8.781,-9.147,-8.873,-8.854,-9.579,-8.377,-8.015,-8.613,-8.847
EGFR_decoy_L005010,decoy,development_train,-8.787,-8.369,-8.214,-7.527,-9.396,-7.966,-8.425,-8.688,-8.456,-8.353,-8.629,-8.531
EGFR_decoy_L005063,decoy,development_train,-8.702,-9.43,-8.709,-8.599,-8.657,-8.522,-8.779,-9.193,-8.555,-7.796,-8.613,-8.863
EGFR_decoy_L005313,decoy,development_train,-8.703,-8.438,-8.143,-8.159,-7.722,-7.912,-8.708,-8.545,-8.312,-8.451,-8.141,-8.357
