target_id,ligand_id,label,CDK2_1AQ1_reference,CDK2_1HCL_aligned,CDK2_1JVP_aligned,CDK2_1Y8Y_aligned,CDK2_2C68_aligned,CDK2_2C69_aligned,CDK2_3RKB_aligned,CDK2_AF2_MD2NS_C00_F001,CDK2_AF2_MD2NS_C01_F005,CDK2_AF2_MD2NS_C02_F031,CDK2_AF2_MD2NS_C03_F041,CDK2_AF2_MD2NS_C04_F066,CDK2_AF2_MD2NS_C05_F074,CDK2_AF2_MD2NS_C06_F077,CDK2_AF2_MD2NS_C07_F095,CDK2_AF_P24941_F1_v6
CDK2,CDK2_A0014,active,-8.265,-7.967,-8.508,-7.791,-7.107,-7.188,-8.532,-7.735,-7.407,-7.248,-7.744,-6.493,-6.667,-7.176,-7.235,-7.812
CDK2,CDK2_A0016,active,-10.37,-8.937,-10.88,-8.274,-7.917,-7.113,-10.47,-9.115,-8.37,-8.473,-7.531,-7.356,-7.282,-7.158,-8.719,-9.612
CDK2,CDK2_A0018,active,-9.721,-9.275,-10.33,-9.447,-9.504,-9.401,-9.731,-9.86,-9.382,-8.856,-9.091,-8.237,-8.665,-8.973,-8.798,-8.713
CDK2,CDK2_A0019,active,-11.09,-9.091,-10.34,-8.439,-7.498,-7.55,-10.26,-8.187,-7.993,-8.691,-9.093,-7.897,-8.685,-8.896,-8.583,-9.14
CDK2,CDK2_A0020,active,-9.181,-8.213,-9.023,-8.54,-8.515,-8.522,-9.074,-8.916,-7.809,-8.125,-8.038,-7.914,-7.918,-7.233,-7.899,-8.443
CDK2,CDK2_A0021,active,-8.72,-8.407,-8.1,-7.982,-8.234,-8.213,-8.77,-8.432,-7.196,-8.583,-7.682,-7.033,-6.826,-8.361,-8.656,-7.864
CDK2,CDK2_A0022,active,-12.01,-8.869,-12.27,-10.34,-7.056,-7.961,-11.98,-9.861,-9.884,-9.665,-9.868,-8.843,-9.804,-9.989,-10.23,-10.7
CDK2,CDK2_A0023,active,-9.954,-9.088,-9.475,-8.655,-7.887,-8.328,-9.462,-9.173,-8.142,-9.024,-8.523,-7.764,-8.226,-8.052,-8.444,-8.798
CDK2,CDK2_A0025,active,-11.16,-8.878,-10.76,-10.07,-9.115,-7.818,-11.15,-8.347,-8.886,-8.941,-8.151,-8.155,-8.84,-8.446,-9.171,-9.433
CDK2,CDK2_A0026,active,-12.36,-9.605,-12.91,-10.14,-6.071,-7.37,-12.75,-10.53,-9.455,-9.189,-9.64,-9.06,-9.673,-9.398,-9.82,-10.89
CDK2,CDK2_A0027,active,-11.62,-8.819,-12.43,-10.28,-6.895,-7.876,-12.24,-10.02,-9.803,-9.454,-9.522,-8.83,-9.599,-9.692,-9.794,-10.74
CDK2,CDK2_A0028,active,-11.58,-8.878,-12.38,-10.68,-6.756,-7.497,-12.35,-10.02,-9.684,-9.448,-9.585,-8.842,-9.641,-9.773,-9.938,-10.88
CDK2,CDK2_A0029,active,-10.1,-8.975,-9.794,-10.08,-8.876,-8.732,-10.26,-9.457,-9.076,-9.776,-10.0,-7.802,-8.318,-8.374,-8.76,-9.82
CDK2,CDK2_A0030,active,-9.196,-8.048,-9.228,-8.544,-8.955,-8.424,-8.499,-8.476,-8.829,-8.076,-8.225,-7.162,-7.494,-8.008,-8.975,-8.332
CDK2,CDK2_A0031,active,-10.94,-8.621,-10.77,-9.214,-8.371,-7.713,-10.46,-8.646,-8.994,-8.502,-7.886,-7.743,-7.869,-8.136,-8.688,-8.451
CDK2,CDK2_A0032,active,-9.069,-8.436,-8.641,-8.423,-8.251,-8.499,-9.214,-8.121,-7.422,-8.317,-8.356,-7.419,-8.082,-8.211,-7.723,-8.133
CDK2,CDK2_A0034,active,-10.27,-8.564,-10.05,-9.255,-8.459,-8.467,-10.25,-9.299,-9.19,-8.789,-7.947,-7.274,-8.628,-8.767,-8.702,-9.293
CDK2,CDK2_A0035,active,-8.684,-8.02,-8.816,-8.346,-7.749,-7.84,-8.332,-8.298,-8.137,-7.727,-7.599,-7.329,-7.936,-7.871,-8.514,-8.11
CDK2,CDK2_A0036,active,-9.792,-9.181,-10.43,-9.731,-9.715,-9.401,-10.04,-9.671,-9.368,-9.185,-8.231,-8.136,-8.307,-8.401,-9.069,-9.106
CDK2,CDK2_A0037,active,-9.556,-8.292,-9.715,-9.204,-8.097,-8.493,-9.45,-9.658,-9.207,-8.047,-8.978,-7.575,-8.689,-8.577,-9.072,-8.856
CDK2,CDK2_A0038,active,-9.981,-8.232,-10.92,-9.714,-9.16,-9.081,-9.917,-9.653,-8.442,-8.356,-8.838,-8.341,-8.453,-7.924,-8.516,-9.109
CDK2,CDK2_A0039,active,-10.5,-8.406,-11.32,-9.423,-5.562,-6.399,-10.85,-9.848,-8.517,-8.689,-8.472,-7.903,-8.64,-8.318,-9.387,-9.851
CDK2,CDK2_A0040,active,-10.22,-8.761,-9.955,-9.395,-7.405,-7.753,-10.6,-9.208,-8.454,-8.469,-8.968,-7.714,-8.784,-8.447,-9.082,-9.557
CDK2,CDK2_A0042,active,-10.44,-8.611,-10.14,-9.102,-8.518,-8.159,-9.847,-8.613,-8.935,-8.425,-8.264,-8.013,-8.912,-8.553,-8.39,-9.389
CDK2,CDK2_A0043,active,-12.59,-9.467,-11.97,-9.823,-5.832,-8.603,-12.31,-10.05,-10.75,-9.938,-9.38,-9.101,-9.485,-10.38,-10.15,-11.6
CDK2,CDK2_A0044,active,-9.195,-8.268,-9.789,-8.914,-8.139,-8.26,-8.503,-9.121,-8.932,-8.183,-8.622,-7.698,-7.725,-7.674,-8.348,-8.466
CDK2,CDK2_A0045,active,-10.73,-9.45,-10.46,-10.2,-8.064,-8.243,-10.97,-9.566,-9.527,-9.419,-9.149,-8.693,-9.019,-8.85,-9.341,-10.35
CDK2,CDK2_A0046,active,-8.285,-7.961,-8.858,-8.636,-8.053,-7.49,-8.526,-8.017,-8.129,-7.638,-8.256,-7.058,-8.066,-7.554,-8.208,-7.698
CDK2,CDK2_A0047,active,-10.58,-8.249,-9.395,-8.361,-6.269,-7.391,-10.15,-7.581,-8.181,-8.132,-7.958,-7.999,-8.488,-8.522,-9.527,-8.849
CDK2,CDK2_A0048,active,-9.792,-8.421,-9.454,-9.685,-6.552,-6.375,-9.585,-7.084,-8.453,-8.902,-8.397,-7.469,-8.348,-9.137,-7.337,-8.978
CDK2,CDK2_A0049,active,-8.485,-8.236,-8.973,-8.001,-8.384,-8.065,-8.489,-9.193,-8.775,-7.74,-8.068,-6.815,-7.488,-7.586,-8.037,-8.325
CDK2,CDK2_A0050,active,-9.932,-8.624,-9.78,-8.98,-9.519,-9.603,-9.75,-9.256,-8.93,-8.474,-9.275,-7.487,-8.238,-8.327,-8.665,-8.815
CDK2,CDK2_A0051,active,-9.137,-8.692,-9.84,-8.273,-9.037,-9.03,-9.197,-9.927,-8.754,-7.793,-8.771,-7.499,-7.864,-8.475,-8.451,-8.699
CDK2,CDK2_A0053,active,-11.27,-9.351,-10.61,-9.105,-1.903,-3.727,-10.22,-7.776,-7.584,-8.599,-7.694,-9.704,-9.685,-10.85,-8.868,-9.74
CDK2,CDK2_A0054,active,-10.9,-9.107,-10.83,-10.52,-8.39,-7.571,-11.17,-9.624,-10.05,-9.702,-9.571,-9.012,-8.283,-8.975,-9.102,-9.66
CDK2,CDK2_A0055,active,-9.949,-8.647,-9.822,-9.071,-8.265,-8.641,-9.817,-9.052,-9.15,-8.565,-8.566,-7.415,-8.458,-8.606,-9.185,-8.769
CDK2,CDK2_A0056,active,-7.898,-7.685,-8.408,-7.632,-7.68,-7.818,-8.626,-7.85,-7.251,-7.45,-7.154,-6.67,-7.514,-7.151,-7.162,-7.674
CDK2,CDK2_A0057,active,-9.43,-8.311,-8.755,-8.018,-8.28,-8.548,-8.779,-8.4,-8.215,-8.618,-8.055,-7.054,-6.203,-7.054,-7.637,-8.572
CDK2,CDK2_A0058,active,-7.166,-7.086,-8.007,-7.259,-7.233,-7.549,-7.979,-6.926,-7.38,-6.225,-6.489,-6.303,-6.862,-7.214,-6.948,-7.654
CDK2,CDK2_A0060,active,-8.016,-6.758,-8.248,-7.477,-7.469,-7.573,-8.31,-8.371,-7.353,-6.862,-7.956,-6.58,-7.331,-7.39,-7.006,-6.926
CDK2,CDK2_A0062,active,-10.19,-9.556,-10.23,-9.716,-9.071,-8.462,-9.79,-9.567,-8.891,-7.664,-8.706,-7.52,-8.224,-8.473,-8.766,-9.6
CDK2,CDK2_A0063,active,-9.737,-8.823,-10.7,-9.377,-7.393,-7.858,-10.54,-9.158,-8.04,-8.246,-7.993,-8.384,-8.192,-8.291,-8.555,-10.07
CDK2,CDK2_A0064,active,-9.289,-8.144,-10.04,-8.612,-7.989,-7.643,-9.179,-8.592,-8.063,-7.53,-7.57,-7.715,-8.204,-8.01,-8.687,-8.645
CDK2,CDK2_A0065,active,-7.887,-7.602,-8.346,-7.628,-7.149,-6.698,-7.736,-8.167,-7.162,-6.985,-7.274,-6.514,-7.151,-7.195,-7.415,-7.757
CDK2,CDK2_A0066,active,-9.586,-8.22,-10.12,-8.309,-8.051,-8.092,-9.825,-7.604,-8.09,-7.832,-7.857,-7.354,-8.487,-8.584,-8.452,-8.769
CDK2,CDK2_A0068,active,-9.708,-8.165,-9.949,-8.102,-7.601,-7.214,-9.804,-9.307,-7.702,-8.32,-7.394,-7.09,-8.218,-8.606,-7.672,-8.269
CDK2,CDK2_A0069,active,-8.847,-7.813,-9.01,-8.065,-8.236,-8.466,-8.678,-8.312,-8.345,-8.097,-8.184,-6.761,-7.013,-7.554,-7.53,-8.466
CDK2,CDK2_A0071,active,-8.979,-7.589,-8.376,-8.078,-7.737,-7.754,-8.434,-8.0,-7.942,-7.804,-7.844,-7.572,-7.981,-7.956,-8.34,-8.3
CDK2,CDK2_A0073,active,-9.722,-8.404,-9.86,-9.116,-7.652,-7.932,-9.62,-8.653,-8.011,-8.846,-8.778,-7.042,-8.457,-8.266,-8.668,-8.737
CDK2,CDK2_A0074,active,-9.408,-8.484,-9.336,-7.664,-7.722,-7.296,-8.045,-9.087,-8.096,-8.889,-8.996,-7.485,-7.615,-6.839,-8.067,-8.968
CDK2,CDK2_A0075,active,-9.969,-8.843,-10.17,-9.971,-7.709,-8.717,-11.12,-8.697,-9.361,-9.575,-9.254,-8.104,-8.797,-8.675,-9.258,-9.516
CDK2,CDK2_A0076,active,-6.603,-6.371,-6.815,-6.958,-6.881,-6.682,-6.546,-6.777,-6.705,-6.388,-6.517,-6.398,-6.395,-6.641,-6.621,-6.308
CDK2,CDK2_A0077,active,-7.808,-7.422,-7.874,-7.131,-6.825,-7.298,-7.816,-7.595,-7.597,-6.638,-7.25,-6.03,-6.909,-6.765,-6.558,-7.064
CDK2,CDK2_A0078,active,-10.49,-9.16,-10.13,-9.638,-8.749,-8.578,-9.555,-10.19,-9.312,-8.136,-8.959,-6.808,-8.476,-8.86,-9.869,-9.458
CDK2,CDK2_A0079,active,-5.578,-5.076,-6.041,-5.638,-5.471,-5.449,-5.619,-5.61,-5.645,-5.084,-5.228,-4.973,-5.375,-5.158,-5.35,-5.712
CDK2,CDK2_A0080,active,-9.407,-8.557,-9.856,-8.803,-7.121,-7.85,-9.539,-8.485,-7.551,-8.384,-8.882,-7.33,-8.476,-7.815,-8.805,-9.08
CDK2,CDK2_A0081,active,-9.898,-7.87,-10.04,-8.381,-8.038,-7.468,-9.776,-8.196,-7.796,-8.394,-8.28,-7.602,-7.959,-8.31,-8.224,-7.897
CDK2,CDK2_A0082,active,-10.14,-8.148,-9.4,-8.202,-8.631,-7.966,-10.15,-8.866,-9.035,-8.488,-8.831,-7.199,-7.076,-7.533,-7.335,-8.154
CDK2,CDK2_A0083,active,-9.253,-8.247,-9.568,-9.258,-8.017,-7.234,-9.384,-8.214,-8.328,-8.138,-8.522,-7.659,-7.934,-8.019,-8.918,-8.74
CDK2,CDK2_A0084,active,-8.45,-8.098,-8.853,-7.869,-8.301,-7.9,-8.829,-8.94,-7.787,-7.572,-7.62,-6.945,-7.04,-7.564,-7.368,-8.085
CDK2,CDK2_A0088,active,-8.876,-8.707,-9.708,-7.933,-7.91,-8.619,-8.838,-8.455,-7.584,-7.515,-6.571,-7.638,-8.232,-7.964,-8.03,-8.445
CDK2,CDK2_A0089,active,-9.592,-9.041,-9.78,-7.867,-7.508,-7.613,-8.939,-8.982,-8.862,-8.038,-8.391,-6.963,-7.845,-7.625,-8.102,-8.438
CDK2,CDK2_A0090,active,-9.703,-8.346,-10.77,-9.09,-8.439,-7.724,-10.24,-9.269,-8.648,-8.62,-8.603,-7.694,-8.48,-8.401,-8.498,-8.682
CDK2,CDK2_A0091,active,-10.72,-8.757,-11.04,-9.682,-9.869,-9.323,-10.35,-9.266,-10.74,-9.59,-10.11,-8.086,-8.906,-8.273,-8.652,-9.575
CDK2,CDK2_A0093,active,-9.315,-7.568,-10.37,-7.945,-8.38,-8.568,-9.356,-9.408,-7.291,-7.997,-7.632,-7.136,-7.44,-8.236,-7.908,-8.173
CDK2,CDK2_A0094,active,-10.27,-9.257,-10.14,-8.968,-9.22,-9.525,-9.623,-9.945,-9.037,-9.624,-9.072,-7.318,-7.266,-7.986,-7.551,-8.353
CDK2,CDK2_A0095,active,-10.11,-8.787,-10.16,-9.474,-8.901,-8.075,-10.6,-8.846,-7.916,-8.814,-8.348,-8.559,-8.493,-8.791,-9.136,-8.899
CDK2,CDK2_A0097,active,-12.34,-10.73,-11.96,-10.39,-5.541,-6.805,-11.92,-9.536,-8.062,-10.25,-9.24,-8.903,-9.993,-10.42,-9.898,-10.32
CDK2,CDK2_A0098,active,-11.74,-9.23,-10.65,-10.02,-3.258,-5.661,-10.68,-6.764,-7.438,-8.557,-7.723,-9.092,-9.198,-8.687,-8.994,-9.532
CDK2,CDK2_A0100,active,-7.625,-7.359,-8.27,-7.405,-7.234,-7.236,-7.812,-8.473,-7.98,-7.208,-7.662,-6.762,-6.793,-7.714,-6.923,-7.375
CDK2,CDK2_D0002,decoy,-7.096,-6.581,-7.307,-6.244,-6.691,-6.446,-7.03,-7.454,-7.322,-6.134,-6.519,-6.015,-6.577,-7.099,-6.587,-6.482
CDK2,CDK2_D0004,decoy,-8.548,-8.002,-9.696,-7.808,-7.358,-7.79,-8.159,-7.978,-7.676,-7.21,-8.011,-7.157,-7.729,-7.546,-8.177,-8.046
CDK2,CDK2_D0007,decoy,-7.599,-7.44,-7.696,-7.25,-6.612,-6.636,-7.934,-6.83,-7.721,-7.357,-7.603,-6.529,-6.716,-6.636,-6.755,-7.456
CDK2,CDK2_D0008,decoy,-9.544,-8.738,-10.6,-7.958,-7.25,-7.254,-9.407,-8.729,-8.352,-8.561,-8.357,-7.139,-8.134,-8.133,-8.408,-9.079
CDK2,CDK2_D0009,decoy,-9.817,-8.414,-9.702,-8.692,-8.981,-8.96,-9.949,-9.967,-8.705,-7.505,-8.058,-7.274,-7.725,-8.261,-8.039,-8.989
CDK2,CDK2_D0010,decoy,-8.618,-7.74,-8.716,-8.471,-8.264,-8.05,-8.234,-7.918,-7.897,-7.6,-7.898,-7.221,-7.964,-7.713,-8.235,-7.46
CDK2,CDK2_D0011,decoy,-8.401,-7.316,-8.536,-7.283,-5.976,-6.735,-8.488,-7.342,-7.601,-7.555,-7.27,-7.32,-7.594,-7.571,-7.803,-7.733
CDK2,CDK2_D0012,decoy,-6.549,-6.065,-6.714,-6.077,-6.223,-6.109,-6.682,-5.368,-5.488,-5.966,-6.257,-6.051,-5.826,-5.447,-5.515,-5.746
CDK2,CDK2_D0014,decoy,-8.417,-7.481,-8.585,-7.174,-7.439,-7.385,-8.841,-7.568,-6.815,-7.216,-7.051,-6.485,-7.209,-6.91,-6.357,-7.693
CDK2,CDK2_D0015,decoy,-9.219,-8.754,-9.767,-9.351,-8.564,-8.615,-9.775,-9.279,-8.485,-8.621,-9.524,-6.958,-7.202,-7.569,-8.162,-8.985
CDK2,CDK2_D0016,decoy,-7.16,-7.801,-5.187,-5.975,1.426,-2.235,-6.418,-1.082,-5.689,-8.092,7.417,-7.192,-6.16,-6.205,-6.387,-5.844
CDK2,CDK2_D0019,decoy,-8.965,-7.843,-9.403,-8.429,-7.643,-7.657,-9.511,-8.974,-7.862,-8.05,-8.565,-7.113,-7.835,-7.821,-8.129,-8.589
CDK2,CDK2_D0020,decoy,-9.64,-8.423,-9.508,-8.608,-7.638,-7.756,-8.974,-7.925,-8.012,-8.866,-9.105,-7.519,-8.249,-8.443,-8.426,-8.698
CDK2,CDK2_D0021,decoy,-10.41,-9.606,-10.53,-9.388,-8.546,-9.134,-10.1,-10.42,-8.966,-9.89,-9.79,-8.033,-9.291,-8.847,-8.584,-9.296
CDK2,CDK2_D0022,decoy,-8.912,-8.104,-9.075,-8.54,-7.836,-7.828,-8.944,-8.515,-8.327,-8.166,-8.618,-7.218,-8.654,-8.029,-8.581,-8.261
CDK2,CDK2_D0023,decoy,-10.05,-8.75,-10.24,-9.214,-8.508,-9.129,-10.08,-5.27,-8.743,-9.003,-9.285,-8.595,-8.5,-8.404,-9.541,-10.16
CDK2,CDK2_D0024,decoy,-9.245,-8.158,-9.734,-9.165,-8.453,-8.12,-9.22,-8.267,-8.897,-7.596,-7.994,-7.451,-7.726,-8.416,-7.795,-8.23
CDK2,CDK2_D0025,decoy,-8.623,-8.468,-8.875,-7.764,-8.179,-7.793,-8.235,-7.718,-7.387,-8.254,-7.83,-7.019,-7.758,-7.705,-8.095,-8.343
CDK2,CDK2_D0026,decoy,-8.373,-7.784,-8.478,-7.626,-8.01,-7.732,-8.508,-7.64,-8.354,-7.732,-8.162,-7.052,-7.837,-8.07,-8.212,-7.65
CDK2,CDK2_D0028,decoy,-7.755,-7.151,-7.853,-7.167,-6.825,-6.619,-7.976,-6.659,-6.454,-6.787,-7.164,-6.584,-7.236,-6.964,-7.379,-6.639
CDK2,CDK2_D0029,decoy,-8.256,-6.69,-8.488,-7.817,-7.618,-7.661,-7.719,-7.79,-7.527,-7.809,-7.903,-6.364,-7.23,-7.47,-7.681,-7.627
CDK2,CDK2_D0030,decoy,-8.423,-7.449,-9.883,-8.293,-6.296,-7.078,-8.441,-7.424,-5.856,-8.091,-6.888,-7.205,-7.881,-6.681,-7.757,-7.844
CDK2,CDK2_D0033,decoy,-8.801,-8.402,-9.019,-8.492,-7.936,-7.854,-8.581,-9.004,-8.406,-8.001,-8.167,-7.191,-7.126,-7.716,-8.198,-8.033
CDK2,CDK2_D0034,decoy,-10.22,-9.644,-9.777,-8.657,-6.617,-7.906,-9.901,-8.612,-8.427,-8.454,-9.04,-8.127,-8.298,-8.2,-8.584,-9.684
CDK2,CDK2_D0035,decoy,-8.541,-7.888,-8.348,-8.091,-7.635,-7.054,-8.532,-8.19,-7.783,-7.878,-8.516,-6.936,-7.883,-7.809,-7.845,-7.956
CDK2,CDK2_D0036,decoy,-7.752,-7.209,-7.835,-6.705,-6.741,-7.315,-7.953,-8.481,-5.951,-7.502,-7.13,-7.789,-7.706,-7.953,-6.946,-7.58
CDK2,CDK2_D0038,decoy,-8.996,-7.672,-9.394,-8.492,-8.415,-7.95,-8.632,-7.988,-9.093,-8.23,-8.743,-7.877,-8.71,-8.004,-8.472,-8.22
CDK2,CDK2_D0040,decoy,-9.039,-8.016,-9.305,-8.391,-7.169,-7.254,-9.182,-7.356,-7.592,-7.679,-8.049,-6.872,-7.327,-7.975,-7.704,-8.125
CDK2,CDK2_D0041,decoy,-8.051,-7.588,-8.193,-7.432,-5.987,-6.282,-8.243,-7.887,-7.616,-7.421,-7.592,-7.173,-7.708,-7.148,-7.505,-7.606
CDK2,CDK2_D0042,decoy,-9.145,-7.954,-8.648,-7.843,-7.456,-7.633,-9.123,-8.684,-8.197,-8.165,-8.02,-7.061,-7.984,-8.277,-7.242,-7.657
CDK2,CDK2_D0043,decoy,-9.155,-8.546,-10.47,-8.957,-8.389,-8.583,-9.923,-8.586,-8.264,-8.143,-9.101,-7.629,-8.215,-7.761,-8.422,-8.462
CDK2,CDK2_D0044,decoy,-8.793,-7.36,-8.911,-8.169,-6.906,-7.153,-7.972,-8.119,-7.796,-7.547,-7.248,-6.868,-7.423,-8.255,-7.84,-7.598
CDK2,CDK2_D0045,decoy,-8.793,-6.938,-8.818,-7.997,-8.019,-8.061,-8.517,-8.426,-7.938,-7.444,-7.471,-6.701,-7.038,-7.432,-7.29,-7.587
CDK2,CDK2_D0046,decoy,-10.57,-8.523,-9.794,-8.682,-7.368,-8.003,-9.468,-7.56,-6.679,-9.251,-9.248,-6.862,-9.08,-7.084,-9.324,-9.03
CDK2,CDK2_D0048,decoy,-9.603,-8.857,-9.031,-9.847,-8.554,-8.238,-9.526,-7.971,-8.496,-8.196,-8.557,-8.144,-7.679,-7.943,-7.865,-8.477
CDK2,CDK2_D0049,decoy,-8.789,-7.926,-9.919,-7.967,-7.215,-7.335,-8.784,-7.83,-7.817,-7.865,-7.968,-7.426,-8.42,-7.604,-8.154,-7.763
CDK2,CDK2_D0052,decoy,-7.589,-6.582,-8.016,-7.656,-5.724,-6.605,-7.438,-6.195,-5.929,-6.97,-5.712,-5.895,-6.682,-6.436,-6.501,-7.357
CDK2,CDK2_D0053,decoy,-9.327,-8.855,-10.14,-7.883,-7.598,-7.76,-9.916,-8.834,-9.389,-8.499,-8.364,-8.589,-8.588,-7.833,-7.717,-8.444
CDK2,CDK2_D0054,decoy,-6.83,-6.797,-5.629,-6.223,-1.629,-4.043,-6.643,-3.937,-0.6035,-7.236,-3.462,-5.931,-5.549,-5.512,-5.826,-6.901
CDK2,CDK2_D0056,decoy,-10.0,-7.632,-10.4,-8.33,-8.469,-8.368,-9.884,-7.863,-8.022,-7.631,-8.092,-7.167,-7.792,-7.926,-8.055,-8.758
CDK2,CDK2_D0057,decoy,-9.758,-9.21,-8.85,-8.286,-7.534,-7.811,-9.22,-7.746,-7.786,-8.55,-9.005,-8.547,-8.758,-7.5,-8.578,-9.432
CDK2,CDK2_D0058,decoy,-8.765,-7.191,-8.157,-7.826,-7.04,-7.473,-8.727,-6.352,-6.651,-7.222,-7.316,-7.377,-7.13,-7.505,-7.116,-7.536
CDK2,CDK2_D0059,decoy,-8.247,-7.852,-8.738,-7.982,-8.152,-8.229,-8.121,-8.625,-7.833,-7.258,-7.544,-7.242,-7.78,-7.992,-7.928,-7.768
CDK2,CDK2_D0060,decoy,-8.543,-7.984,-7.909,-7.542,-6.329,-8.086,-7.856,-6.959,-7.511,-7.478,-6.739,-6.717,-7.563,-7.267,-7.104,-7.937
CDK2,CDK2_D0061,decoy,-9.781,-8.767,-9.383,-9.137,-7.258,-7.576,-9.87,-8.466,-8.078,-8.318,-8.918,-7.818,-8.346,-7.945,-8.97,-8.613
CDK2,CDK2_D0062,decoy,-9.895,-9.511,-10.05,-10.3,-7.017,-6.876,-9.571,-7.89,-8.127,-8.888,-9.166,-8.139,-8.603,-8.113,-9.555,-9.396
CDK2,CDK2_D0063,decoy,-8.894,-9.098,-9.629,-8.604,-5.687,-6.582,-9.473,-9.607,-7.689,-8.668,-9.439,-7.964,-7.88,-8.015,-8.737,-8.737
CDK2,CDK2_D0064,decoy,-8.784,-7.884,-8.774,-7.88,-7.905,-8.209,-8.782,-7.697,-8.772,-8.093,-8.8,-7.751,-8.396,-7.874,-8.225,-8.183
CDK2,CDK2_D0065,decoy,-9.065,-6.824,-8.383,-7.595,-7.596,-7.502,-8.654,-8.025,-7.196,-7.543,-7.416,-7.834,-7.604,-7.473,-8.12,-7.675
CDK2,CDK2_D0066,decoy,-8.45,-6.625,-7.224,-6.436,-4.515,-5.682,-7.153,-5.706,-5.491,-6.695,-7.085,-7.08,-6.974,-7.201,-6.552,-7.726
CDK2,CDK2_D0067,decoy,-9.548,-8.289,-9.67,-8.394,-7.073,-7.088,-9.956,-8.888,-7.894,-7.622,-8.385,-7.069,-8.117,-7.866,-8.637,-8.446
CDK2,CDK2_D0069,decoy,-9.346,-8.298,-9.015,-8.967,-7.574,-7.108,-10.13,-8.47,-6.918,-9.539,-8.258,-8.91,-8.202,-7.968,-7.407,-8.384
CDK2,CDK2_D0070,decoy,-9.647,-9.03,-9.594,-8.944,-7.546,-6.915,-8.852,-7.647,-7.483,-8.292,-7.832,-7.455,-7.619,-7.609,-8.384,-8.114
CDK2,CDK2_D0071,decoy,-8.731,-8.29,-9.434,-7.704,-7.427,-7.335,-8.645,-7.488,-7.302,-7.724,-8.048,-7.238,-7.889,-7.828,-7.971,-7.662
CDK2,CDK2_D0072,decoy,-8.685,-7.701,-8.119,-7.927,-6.093,-6.139,-8.46,-8.224,-6.355,-7.71,-7.78,-7.394,-7.944,-7.684,-7.542,-8.343
CDK2,CDK2_D0073,decoy,-9.047,-8.249,-9.362,-8.427,-7.653,-8.025,-9.012,-8.164,-7.891,-8.398,-7.635,-8.191,-8.648,-7.915,-7.935,-8.354
CDK2,CDK2_D0074,decoy,-9.248,-9.187,-9.486,-8.676,-8.734,-7.371,-9.583,-8.56,-8.175,-8.541,-9.016,-7.903,-8.18,-8.182,-9.014,-8.375
CDK2,CDK2_D0075,decoy,-9.021,-8.116,-9.382,-7.859,-8.064,-8.001,-9.463,-7.684,-9.49,-8.734,-8.382,-7.099,-8.281,-8.071,-8.626,-8.386
