ligand_id,label,selection_role,FA10_3KL6_reference,FA10_1LPK_aligned,FA10_1KSN_aligned,FA10_2WYJ_aligned,FA10_2PHB_aligned,FA10_1EZQ_aligned,FA10_5K0H_aligned,FA10_4A7I_aligned,FA10_2W3K_aligned,FA10_1NFU_aligned,FA10_1F0R_aligned,FA10_2Y81_aligned,FA10_1LPZ_aligned
FA10_active_L000410,active,development_train,-10.091,-9.61,-9.612,-10.324,-9.671,-9.489,-9.6,-9.306,-9.655,-9.868,-9.536,-9.633,-10.235
FA10_active_L000330,active,development_train,-10.224,-9.023,-9.947,-10.402,-10.161,-10.247,-10.166,-10.017,-10.065,-10.392,-10.541,-10.366,-9.498
FA10_active_L000241,active,development_train,-9.186,-8.908,-9.299,-9.788,-10.326,-8.637,-8.764,-8.685,-10.203,-9.6,-8.961,-9.438,-8.977
FA10_active_L000122,active,development_train,-9.069,-8.421,-8.415,-9.231,-9.426,-8.36,-9.133,-8.066,-8.688,-8.121,-8.239,-9.116,-8.738
FA10_active_L000175,active,development_train,-11.831,-11.401,-11.89,-11.723,-12.743,-11.877,-12.062,-10.322,-12.601,-11.145,-11.299,-12.082,-11.737
FA10_active_L000514,active,development_train,-9.966,-9.348,-9.782,-9.318,-10.258,-9.414,-10.321,-9.848,-10.251,-9.757,-9.471,-9.792,-9.726
FA10_active_L000283,active,development_train,-10.506,-10.252,-11.1,-10.557,-9.801,-10.948,-10.889,-8.691,-10.265,-10.831,-10.326,-10.916,-10.71
FA10_active_L000101,active,development_train,-9.886,-8.385,-8.659,-8.92,-10.296,-9.001,-10.458,-7.539,-10.262,-9.829,-8.673,-9.601,-8.37
FA10_active_L000453,active,development_train,-9.822,-10.454,-9.378,-9.32,-9.082,-9.236,-9.496,-9.391,-7.912,-9.1,-9.659,-9.69,-10.296
FA10_active_L000017,active,development_train,-10.63,-10.464,-10.445,-10.561,-12.295,-10.187,-11.738,-9.179,-11.582,-10.531,-9.762,-11.008,-10.523
FA10_active_L000158,active,development_train,-9.958,-9.175,-9.411,-10.116,-10.894,-9.877,-10.859,-8.215,-10.266,-9.397,-9.211,-10.665,-9.078
FA10_active_L000439,active,development_train,-9.2,-7.58,-8.298,-8.717,-8.956,-8.432,-8.902,-8.229,-8.955,-8.176,-8.692,-8.608,-7.675
FA10_active_L000350,active,development_train,-8.214,-8.612,-8.903,-9.344,-8.871,-8.26,-8.575,-8.181,-8.956,-8.538,-8.893,-9.455,-9.22
FA10_active_L000010,active,development_train,-12.175,-11.695,-11.83,-11.318,-12.696,-11.695,-12.26,-10.553,-12.554,-11.437,-11.456,-11.822,-12.105
FA10_active_L000040,active,development_train,-11.053,-10.79,-10.812,-10.955,-12.17,-10.743,-12.042,-9.735,-11.757,-10.18,-10.154,-11.503,-10.828
FA10_active_L000086,active,development_train,-11.695,-10.581,-11.701,-11.161,-11.076,-11.579,-11.93,-9.254,-9.985,-11.49,-10.473,-11.623,-10.857
FA10_active_L000510,active,development_train,-10.29,-9.835,-10.343,-10.041,-10.79,-10.407,-10.476,-10.413,-10.72,-9.738,-9.909,-10.476,-9.937
FA10_active_L000072,active,development_train,-10.324,-9.377,-9.775,-11.378,-10.035,-10.054,-10.113,-9.903,-9.781,-10.632,-9.83,-11.07,-9.931
FA10_active_L000416,active,development_train,-10.706,-9.611,-10.865,-10.049,-11.142,-10.918,-10.877,-10.087,-11.357,-10.208,-10.558,-10.154,-9.798
FA10_active_L000172,active,development_train,-10.426,-10.388,-11.227,-11.078,-10.758,-10.745,-11.594,-9.055,-10.136,-11.115,-10.433,-11.381,-11.213
FA10_active_L000473,active,development_train,-7.761,-6.855,-7.052,-7.581,-7.918,-7.859,-7.773,-6.844,-6.824,-8.815,-8.029,-8.314,-7.212
FA10_active_L000437,active,development_train,-11.062,-11.242,-11.332,-10.996,-11.304,-10.948,-11.689,-9.211,-11.112,-11.33,-10.57,-11.477,-11.465
FA10_active_L000487,active,development_train,-10.192,-9.018,-8.755,-10.333,-10.899,-8.522,-9.244,-8.168,-8.86,-10.847,-10.021,-10.054,-10.06
FA10_active_L000413,active,development_train,-9.72,-10.008,-9.763,-9.521,-9.975,-10.003,-9.39,-9.355,-9.94,-9.947,-10.178,-9.662,-10.374
FA10_active_L000051,active,development_train,-8.723,-8.808,-8.572,-9.338,-8.465,-8.263,-8.917,-7.227,-8.427,-8.169,-8.56,-9.498,-9.404
FA10_active_L000028,active,development_train,-10.724,-10.919,-11.474,-11.113,-10.541,-10.934,-11.637,-9.611,-10.222,-11.166,-10.534,-11.281,-11.477
FA10_active_L000166,active,development_train,-9.02,-8.902,-9.524,-10.719,-11.425,-10.174,-9.91,-8.567,-10.414,-9.263,-9.512,-11.4,-8.919
FA10_active_L000387,active,development_train,-11.418,-10.093,-9.973,-10.885,-11.089,-10.185,-10.521,-10.739,-11.067,-11.229,-10.261,-10.72,-10.377
FA10_active_L000259,active,development_train,-10.86,-10.283,-9.898,-10.42,-10.749,-9.716,-11.353,-8.745,-10.471,-10.766,-9.75,-10.496,-10.658
FA10_active_L000074,active,development_train,-9.071,-8.526,-8.248,-8.723,-8.628,-7.888,-8.245,-8.514,-8.609,-8.112,-8.15,-8.444,-8.566
FA10_active_L000004,active,development_train,-11.478,-11.002,-10.929,-10.637,-12.023,-10.944,-11.864,-10.501,-11.613,-10.634,-10.553,-11.419,-11.087
FA10_active_L000253,active,development_train,-9.954,-9.445,-9.525,-9.992,-10.186,-9.907,-9.717,-8.566,-8.462,-9.29,-10.268,-10.347,-9.789
FA10_active_L000396,active,development_train,-10.016,-9.539,-9.819,-9.907,-10.339,-9.962,-10.06,-10.219,-10.228,-9.7,-10.048,-9.893,-9.646
FA10_active_L000245,active,development_train,-8.67,-8.432,-9.413,-8.96,-8.444,-8.798,-8.583,-8.662,-8.67,-8.232,-9.432,-9.099,-8.577
FA10_active_L000272,active,development_train,-10.399,-11.192,-9.956,-10.197,-10.652,-10.044,-10.488,-9.546,-10.105,-10.321,-10.016,-10.782,-11.366
FA10_active_L000045,active,development_train,-11.792,-11.446,-11.146,-10.522,-11.641,-11.087,-11.84,-10.578,-12.008,-10.972,-10.89,-11.11,-11.373
FA10_active_L000342,active,development_train,-9.75,-10.007,-9.086,-9.421,-10.424,-8.96,-10.036,-9.214,-10.334,-9.37,-8.851,-9.973,-10.121
FA10_active_L000199,active,development_train,-10.585,-9.874,-10.39,-9.932,-11.292,-10.475,-10.828,-8.788,-11.242,-9.97,-9.624,-10.323,-9.932
FA10_active_L000390,active,development_train,-8.829,-8.141,-9.278,-8.688,-8.484,-8.571,-8.409,-8.032,-8.714,-8.161,-8.974,-8.598,-8.16
FA10_active_L000532,active,development_train,-8.205,-8.682,-8.147,-8.719,-8.688,-8.168,-8.269,-7.772,-8.589,-8.644,-8.645,-8.47,-8.738
FA10_active_L000282,active,development_train,-10.06,-9.022,-9.272,-10.618,-10.489,-9.832,-9.638,-9.807,-9.709,-10.503,-9.387,-10.39,-9.955
FA10_active_L000474,active,development_train,-9.984,-8.954,-9.191,-9.99,-10.525,-9.79,-10.165,-9.004,-9.594,-9.858,-10.449,-10.57,-9.82
FA10_active_L000370,active,development_train,-9.313,-9.292,-9.135,-8.938,-10.111,-9.136,-9.262,-9.277,-9.74,-9.556,-8.628,-9.151,-9.288
FA10_active_L000193,active,development_train,-9.545,-8.085,-9.495,-9.274,-9.287,-9.21,-9.701,-8.774,-9.57,-9.556,-9.334,-9.633,-9.299
FA10_active_L000220,active,development_train,-10.045,-8.935,-10.423,-10.129,-9.648,-9.72,-10.325,-8.678,-9.757,-9.75,-9.345,-10.52,-9.234
FA10_active_L000397,active,development_train,-9.628,-8.088,-8.986,-9.836,-9.835,-8.794,-9.503,-7.595,-8.6,-9.754,-8.766,-9.387,-9.283
FA10_active_L000107,active,development_train,-8.511,-9.097,-8.159,-9.543,-8.144,-8.235,-9.137,-9.121,-7.529,-10.083,-9.752,-9.812,-9.512
FA10_active_L000323,active,development_train,-9.642,-9.408,-8.456,-9.865,-9.64,-8.248,-9.973,-8.553,-9.23,-9.715,-8.981,-10.233,-9.766
FA10_active_L000161,active,development_train,-9.398,-9.028,-9.78,-9.494,-9.81,-9.6,-9.675,-8.472,-9.738,-9.472,-9.593,-10.536,-9.571
FA10_active_L000188,active,development_train,-9.647,-8.754,-9.57,-9.991,-9.993,-9.513,-9.639,-8.519,-10.339,-9.182,-9.07,-9.828,-8.606
FA10_decoy_L008493,decoy,development_train,-9.388,-8.894,-9.507,-9.617,-9.533,-9.424,-10.1,-8.003,-9.947,-10.095,-8.767,-9.401,-9.682
FA10_decoy_L008494,decoy,development_train,-7.992,-7.367,-8.462,-7.306,-8.153,-8.01,-8.492,-7.686,-8.519,-7.512,-8.058,-7.689,-7.28
FA10_decoy_L009108,decoy,development_train,-8.945,-8.252,-7.351,-8.46,-7.633,-8.251,-8.547,-7.765,-7.763,-8.126,-8.147,-8.659,-8.33
FA10_decoy_L025220,decoy,development_train,-9.139,-8.131,-8.338,-8.142,-8.81,-8.326,-8.654,-8.639,-9.042,-8.017,-8.284,-9.085,-8.31
FA10_decoy_L009214,decoy,development_train,-9.871,-8.647,-9.336,-9.821,-9.751,-9.076,-9.554,-8.303,-10.153,-9.321,-9.139,-9.347,-9.523
FA10_decoy_L028039,decoy,development_train,-10.456,-9.29,-10.145,-9.961,-10.973,-10.052,-10.261,-8.725,-10.954,-9.888,-9.84,-9.794,-10.021
FA10_decoy_L003122,decoy,development_train,-8.767,-7.12,-7.902,-8.816,-9.982,-8.513,-9.772,-7.185,-8.924,-8.38,-8.214,-9.378,-8.047
FA10_decoy_L010696,decoy,development_train,-8.307,-8.412,-8.541,-8.296,-8.51,-8.519,-8.243,-8.022,-7.842,-8.136,-8.306,-8.968,-8.525
FA10_decoy_L010916,decoy,development_train,-7.218,-7.463,-7.322,-9.116,-7.606,-7.15,-7.834,-7.91,-7.737,-7.381,-7.253,-7.74,-8.283
FA10_decoy_L010986,decoy,development_train,-8.703,-7.539,-8.533,-8.682,-8.905,-8.234,-8.632,-6.958,-8.464,-7.991,-8.417,-8.315,-8.218
FA10_decoy_L026888,decoy,development_train,-8.006,-7.628,-8.151,-8.257,-8.917,-8.237,-8.185,-7.472,-8.237,-7.733,-8.055,-8.277,-7.829
FA10_decoy_L007653,decoy,development_train,-8.971,-8.372,-8.146,-9.037,-8.18,-8.466,-8.245,-8.445,-8.298,-8.127,-8.498,-9.481,-8.565
FA10_decoy_L007654,decoy,development_train,-9.037,-9.34,-9.008,-9.649,-9.194,-9.094,-9.148,-8.577,-9.173,-9.212,-9.331,-9.489,-9.635
FA10_decoy_L019561,decoy,development_train,-9.324,-9.426,-9.479,-9.354,-9.255,-9.258,-9.307,-8.61,-9.783,-8.947,-9.454,-9.684,-9.358
FA10_decoy_L019562,decoy,development_train,-9.861,-7.443,-10.011,-9.93,-9.83,-9.543,-9.756,-7.482,-10.005,-9.865,-10.267,-9.319,-7.553
FA10_decoy_L003608,decoy,development_train,-10.176,-9.527,-9.59,-9.329,-10.279,-9.913,-9.671,-9.418,-9.937,-10.177,-9.827,-9.216,-9.829
FA10_decoy_L006890,decoy,development_train,-9.24,-8.407,-8.078,-9.71,-8.516,-8.243,-8.599,-8.762,-8.746,-8.628,-8.418,-9.569,-8.527
FA10_decoy_L009062,decoy,development_train,-8.997,-8.499,-7.972,-8.79,-8.183,-7.693,-8.492,-8.768,-8.171,-8.111,-7.847,-8.923,-8.583
FA10_decoy_L011972,decoy,development_train,-8.536,-9.065,-8.246,-8.727,-8.703,-8.261,-8.641,-8.791,-8.771,-8.262,-8.456,-9.095,-8.826
FA10_decoy_L024066,decoy,development_train,-9.023,-8.964,-9.42,-9.089,-9.438,-9.165,-9.936,-8.468,-9.7,-9.435,-8.551,-8.944,-9.453
FA10_decoy_L003301,decoy,development_train,-8.449,-8.981,-8.561,-8.528,-8.307,-8.482,-8.219,-8.863,-8.175,-8.468,-7.903,-8.661,-9.491
FA10_decoy_L004121,decoy,development_train,-8.875,-8.162,-9.018,-8.756,-8.81,-8.923,-8.713,-8.729,-9.331,-8.7,-9.049,-8.703,-8.312
FA10_decoy_L011923,decoy,development_train,-8.798,-8.502,-8.323,-9.187,-8.554,-8.311,-9.256,-9.034,-8.604,-8.699,-8.321,-9.458,-8.377
FA10_decoy_L000890,decoy,development_train,-8.485,-8.275,-8.526,-8.496,-9.297,-8.144,-8.547,-7.875,-8.777,-7.99,-8.136,-8.183,-8.51
FA10_decoy_L012355,decoy,development_train,-8.575,-8.258,-8.652,-8.684,-8.186,-8.183,-8.098,-7.965,-7.747,-8.616,-7.939,-8.681,-8.55
FA10_decoy_L020062,decoy,development_train,-8.653,-8.643,-8.415,-8.726,-9.125,-8.156,-8.798,-8.963,-9.206,-8.053,-8.401,-8.643,-8.674
FA10_decoy_L014205,decoy,development_train,-8.996,-8.564,-9.032,-9.483,-9.098,-8.713,-8.738,-8.539,-9.315,-8.653,-8.663,-9.1,-8.801
FA10_decoy_L014206,decoy,development_train,-8.853,-9.308,-8.945,-9.509,-9.085,-8.605,-8.785,-8.952,-9.282,-8.82,-8.683,-9.23,-9.518
FA10_decoy_L017431,decoy,development_train,-6.738,-6.804,-6.635,-6.968,-6.726,-6.658,-6.57,-6.861,-6.915,-6.922,-6.69,-6.413,-7.015
FA10_decoy_L017491,decoy,development_train,-6.75,-6.883,-6.585,-6.734,-6.902,-6.846,-6.769,-6.888,-6.756,-6.846,-6.965,-6.556,-6.778
FA10_decoy_L017492,decoy,development_train,-6.981,-6.783,-6.657,-6.942,-6.377,-6.324,-6.669,-7.104,-6.743,-6.686,-7.136,-6.856,-6.834
FA10_decoy_L020784,decoy,development_train,-8.343,-8.523,-8.658,-8.504,-8.554,-7.776,-8.314,-8.835,-8.649,-8.455,-8.08,-8.672,-8.569
FA10_decoy_L010928,decoy,development_train,-7.73,-6.872,-7.461,-8.112,-7.729,-7.604,-7.643,-6.82,-7.295,-8.016,-7.608,-8.13,-7.535
FA10_decoy_L022572,decoy,development_train,-8.064,-8.042,-8.206,-8.004,-8.641,-7.972,-8.126,-7.67,-8.618,-7.531,-7.869,-7.966,-8.79
FA10_decoy_L017594,decoy,development_train,-7.71,-7.556,-6.961,-7.824,-7.748,-7.004,-7.393,-7.504,-7.621,-7.294,-7.411,-7.722,-7.753
FA10_decoy_L024561,decoy,development_train,-7.824,-7.247,-7.554,-7.726,-7.784,-6.614,-7.567,-7.487,-8.097,-7.108,-7.631,-7.239,-7.507
FA10_decoy_L005468,decoy,development_train,-9.51,-9.297,-9.81,-9.181,-10.026,-9.909,-9.408,-9.176,-9.966,-9.506,-9.57,-9.388,-9.222
FA10_decoy_L006079,decoy,development_train,-10.388,-8.618,-9.484,-10.132,-10.003,-9.242,-9.387,-9.241,-10.107,-9.428,-9.325,-9.789,-8.712
FA10_decoy_L010506,decoy,development_train,-8.399,-8.56,-10.135,-8.845,-9.115,-9.79,-9.379,-7.756,-8.754,-9.594,-9.775,-9.471,-9.122
FA10_decoy_L010507,decoy,development_train,-9.199,-8.92,-9.232,-8.908,-10.155,-8.996,-9.649,-8.942,-9.685,-10.124,-8.827,-8.844,-8.875
FA10_decoy_L012096,decoy,development_train,-7.54,-6.998,-7.278,-7.679,-7.48,-7.518,-7.304,-7.116,-7.305,-7.44,-7.538,-7.369,-7.039
FA10_decoy_L008071,decoy,development_train,-7.284,-8.463,-7.294,-7.215,-7.103,-7.43,-7.354,-7.293,-7.108,-7.274,-7.186,-7.444,-7.761
FA10_decoy_L027147,decoy,development_train,-8.273,-8.249,-9.438,-8.388,-8.287,-9.379,-8.718,-8.09,-8.448,-8.207,-8.873,-8.122,-8.623
FA10_decoy_L012971,decoy,development_train,-9.074,-8.706,-8.333,-9.028,-8.998,-8.14,-8.851,-8.429,-8.858,-8.848,-8.999,-9.241,-8.535
FA10_decoy_L017670,decoy,development_train,-8.737,-9.177,-8.669,-8.897,-8.75,-8.356,-8.256,-8.145,-8.336,-8.53,-8.483,-8.599,-9.291
FA10_decoy_L016665,decoy,development_train,-10.665,-10.484,-9.896,-10.816,-10.552,-9.854,-10.245,-10.421,-10.282,-9.415,-9.742,-10.949,-10.773
